Epoch,Train_OA,Train_mIoU,Train_Loss,Valid_OA,Valid_mIoU,Valid_Loss,Test_OA,Test_mIoU,Test_Loss
32,54.59259870555592,30.88775696788201,0.34425218105316163,63.78357327512215,37.9136980163788,0.7905611991882324,0,0,0
33,56.10935350732983,31.682889554467675,0.35065916180610657,62.540974576162625,38.41285715032506,0.555265486240387,0,0,0
34,52.43143661651589,29.588780279387546,0.33854135274887087,65.97953384934269,40.79649900561463,0.5495433211326599,0,0,0
35,60.6480849576092,34.57602247340886,0.33264234066009524,85.6263979523601,46.35943463003573,1.2338323593139648,0,0,0
36,52.76726887091754,29.972611683098034,0.3445920169353485,79.95167856767691,43.9543428246113,1.3435313701629639,0,0,0
37,55.35729389208811,31.430183102083216,0.33434287905693055,69.24084621435141,38.64864264841036,1.0766233205795288,0,0,0
38,50.3598809311423,28.44325626100419,0.3478499293327332,65.35914404962298,36.71808275234122,0.8468098044395447,0,0,0
39,50.17325114619013,28.526076347206313,0.3459686040878296,69.12150303738377,37.77870333873699,0.9623892903327942,0,0,0
40,52.445311775016975,29.914396390982134,0.31948973536491393,65.60682341667884,35.49232846857789,1.1338591575622559,0,0,0
41,52.395365313541944,29.74856392438925,0.32422680854797364,59.30072277179524,32.47657013425051,1.0133153200149536,0,0,0
42,54.807841724574,31.1127552663426,0.3521374762058258,76.75698111467244,43.27644091798643,0.8827365040779114,0,0,0
43,57.0725538612628,32.690275508020164,0.3190567195415497,67.00294386668818,37.55146155545282,0.7716793417930603,0,0,0
44,56.67602977337812,32.39643098207053,0.3235864818096161,64.17721616282734,35.80594745507207,0.7215455770492554,0,0,0
45,56.31747403629799,32.275044085640275,0.3278169810771942,73.51055462038468,44.57293976807705,0.6725721955299377,0,0,0
46,52.005682925234055,29.638334409991536,0.33746805787086487,73.33425569365339,44.284985325926215,0.6911213397979736,0,0,0
47,59.07087802153663,33.89133623436621,0.3245784878730774,72.25842486478454,43.69164905737819,0.6570616960525513,0,0,0
48,53.94573963806108,30.710789394160187,0.3470850050449371,66.43656338793194,40.91336453459114,0.5665256381034851,0,0,0
49,53.09919745288798,30.28752306604613,0.3199488401412964,64.04485745689887,39.4572187384812,0.540577232837677,0,0,0
50,58.86090153602662,33.74182941209025,0.32452759742736814,66.4797093540147,40.93291752275968,0.5762903094291687,0,0,0
51,55.81715335303204,32.02832833261321,0.3205713927745819,67.62446099568797,41.42146912518082,0.5843943953514099,0,0,0
