epoch,train_loss,train_acc,valid_loss,valid_acc
183,0.31394063591957094,85.0,0.5609079676866532,72.0
184,0.3541255450248718,86.0,0.5237650865316391,73.0
185,0.3322141432762146,83.0,0.544457431435585,73.0
186,0.3569635108113289,88.0,0.5312397098541259,72.0
187,0.3340969550609589,82.0,0.5309687197208405,73.0
188,0.3934804928302765,82.0,0.6041434997320175,66.5
189,0.2771658205986023,91.0,0.521006315946579,74.0
190,0.24591463565826416,92.0,0.5254447144269944,72.0
191,0.2967691016197205,86.0,0.49782586097717285,76.5
192,0.26002185583114623,86.0,0.5489825814962387,71.5
193,0.3345234751701355,89.0,0.5546264606714248,72.5
194,0.2474855124950409,93.0,0.5592846417427063,70.5
195,0.26294175028800965,92.0,0.5695016634464264,71.0
196,0.30346333622932437,88.0,0.5429753977060318,71.0
197,0.3137967884540558,88.0,0.5142612355947495,73.5
198,0.3325048720836639,91.0,0.5178865969181061,71.5
199,0.22677087783813477,91.0,0.5307063299417496,71.0
200,0.27185117959976196,89.0,0.5330173581838608,72.5
