equipamento,flange_id,n_pontos,centroid_x,centroid_y,centroid_z,extensao_x,extensao_y,extensao_z
equipamento12,44,4949,853.7867,1249.0058,41.5432,0.2321,0.251,0.185
equipamento12,45,4791,853.7924,1249.0,41.808,0.234,0.234,0.137
equipamento12,46,2633,854.1235,1249.0213,42.0579,0.097,0.1531,0.162
equipamento12,47,2244,853.9296,1249.0209,42.0621,0.119,0.163,0.155
equipamento12,48,22281,852.1657,1252.5768,52.8648,0.504,0.639,0.28
equipamento12,49,2799,853.9676,1248.9869,40.8551,0.113,0.1949,0.18
equipamento12,50,4268,853.249,1247.1642,43.1261,0.129,0.1169,0.176
equipamento12,51,2156,854.5679,1252.512,41.388,0.163,0.1631,0.098
equipamento12,52,66347,851.876,1250.911,47.8753,0.645,0.645,0.846
equipamento13,0,19787,4257296.2473,6654065.5279,376.9756,275.2002,601.6953,594.038
equipamento13,1,27119,4258887.7171,6655678.0979,315.7098,442.8359,688.1162,590.786
equipamento13,2,3950,4254233.8611,6654013.1312,924.1365,198.8379,195.873,190.686
equipamento13,3,41270,4255308.2336,6654012.7475,936.5964,430.6528,422.4111,268.031
equipamento13,4,504,4259264.4245,6655486.6669,416.1117,196.6436,46.0439,235.003
equipamento14,0,3923,4253764.6465,6671058.5263,1317.9113,202.157,194.855,182.385
equipamento14,1,9786,4257462.0899,6671269.3308,2226.0616,291.704,290.343,174.8499
equipamento14,2,1397,4257599.6834,6670606.0646,1364.0836,102.131,148.826,157.092
equipamento14,3,3546,4253780.138,6670496.8561,1518.8604,207.9399,191.046,155.8529
equipamento14,4,1686,4256961.4143,6670788.969,2760.4148,90.84,99.957,70.002
equipamento14,5,2155,4256961.861,6670786.8073,2887.424,106.907,102.669,84.0779
equipamento14,6,6996,4254782.2067,6670429.5906,2876.0275,242.5972,277.98,262.5349
equipamento14,7,7794,4254227.2823,6671258.1119,2241.8852,289.844,293.369,195.6011
equipamento14,8,2258,4257783.9634,6670592.1538,1375.3031,144.231,153.39,152.095
equipamento14,9,2887,4257925.3449,6670480.173,1369.0145,152.7,194.712,165.7799
equipamento14,10,924,4254227.3746,6670502.4527,1349.0139,130.354,169.727,161.056
equipamento14,11,1474,4254046.0441,6670499.3591,1345.6388,110.2852,154.254,159.286
equipamento14,12,2841,4254675.8452,6671245.2831,2523.4242,192.4541,268.467,254.0032
equipamento14,13,7836,4255026.8813,6670765.5745,2527.845,203.6731,339.742,329.1599
equipamento14,14,2872,4253777.5198,6671072.8915,2146.91,203.9106,190.331,192.7119
equipamento14,15,5783,4253786.8874,6670456.184,2858.4474,172.7178,238.18,240.0039
equipamento14,16,2742,4255065.0832,6671277.9168,2531.5203,212.72,262.458,259.644
equipamento14,17,1506,4253545.5699,6670703.4108,2137.4412,117.0317,137.682,129.002
equipamento14,18,908,4253549.9228,6670885.4675,2145.8491,111.3271,127.314,129.2109
equipamento14,19,7675,4253536.0011,6670459.6899,2849.4823,154.8638,236.592,238.1289
equipamento14,20,9470,4253526.4622,6670770.5757,2495.6199,172.8037,287.199,284.104
equipamento14,21,5934,4253814.8978,6670762.0913,2503.3323,147.4351,287.356,284.7029
equipamento14,22,7413,4253667.1996,6670767.4937,2734.5318,222.8877,331.096,219.9021
equipamento14,23,2167,4255385.2766,6671290.6857,2520.7133,142.6528,286.272,288.2451
equipamento14,24,2727,4255663.7787,6671287.5907,2544.3372,147.073,284.142,282.791
equipamento14,25,5430,4255551.8638,6671246.3226,2755.5649,218.8291,320.947,154.8779
equipamento15,0,11539,4256841.368,6667499.1895,3116.5733,289.554,174.678,301.001
equipamento15,1,21678,4256835.0725,6667909.6119,3133.8335,284.824,172.012,289.0979
equipamento15,2,12189,4259357.1738,6667446.5978,3821.1957,156.198,309.542,356.6831
equipamento15,3,3127,4257873.4204,6668000.8424,1338.3256,162.6339,209.454,153.0
equipamento15,4,2231,4258066.5176,6667595.2319,1883.0363,126.8259,128.423,142.728
equipamento15,5,2093,4257860.9028,6669298.1221,1369.3554,153.62,110.8,156.001
equipamento15,6,3527,4258052.8399,6669000.7436,1603.7963,176.0929,120.764,193.9501
equipamento15,7,4038,4258099.2027,6669245.7923,1569.4962,196.001,148.7219,190.2329
equipamento15,8,3606,4258627.725,6669266.1674,2067.6227,199.1619,133.397,199.6991
equipamento15,9,5296,4258625.2545,6669267.2806,2945.5959,196.3999,101.1389,195.9341
equipamento15,10,7789,4258613.7004,6669507.8247,2962.4926,207.1279,82.825,194.0051
equipamento15,11,2219,4259184.3628,6668046.2647,1570.4995,92.387,132.109,130.235
equipamento15,12,4419,4258598.6094,6667895.036,2050.5714,209.6528,189.785,199.0311
equipamento15,13,1949,4258833.8626,6668046.8804,1583.9092,120.4971,132.856,127.52
equipamento15,14,2567,4258595.5879,6668353.4401,1594.3217,221.1001,304.2991,186.5859
equipamento15,15,1578,4258306.4499,6668541.3978,3980.7021,118.9509,79.3109,107.3362
equipamento15,16,7475,4258626.6422,6668713.8533,3783.5925,292.2991,294.8761,158.5569
equipamento15,17,5961,4258292.3493,6668708.1647,3738.9488,192.6821,190.933,201.4119
equipamento15,18,2697,4258205.1445,6669090.792,2914.6226,98.262,108.946,119.0029
equipamento15,19,15144,4258278.4528,6667730.5769,3159.3545,291.2051,219.472,303.991
equipamento15,20,8740,4258125.3085,6668709.4779,4258.7756,187.9091,236.5699,236.4121
equipamento15,21,6512,4258303.4962,6668706.307,4118.3913,201.5352,205.1639,125.4812
equipamento15,22,12295,4258027.9813,6668971.8941,3145.8241,157.8091,285.403,291.8279
equipamento15,23,4666,4258585.54,6667880.4614,2967.2887,196.7231,97.111,191.1289
equipamento15,24,1763,4258033.6465,6668658.786,2076.017,119.01,156.426,153.3281
equipamento15,25,5741,4257837.4575,6668696.5389,2066.6377,110.575,217.712,155.9391
equipamento15,26,2101,4258027.2275,6668682.4306,2940.1566,112.927,162.568,154.429
equipamento15,27,6236,4257840.6236,6668693.1993,2958.0132,141.314,158.5,157.6531
equipamento15,28,2653,4258182.9579,6668298.9939,2913.834,115.6289,117.006,117.99
equipamento15,29,3959,4258573.1292,6668127.0178,2950.0039,195.0811,91.84,193.582
equipamento15,30,3927,4258205.4037,6668150.0609,3160.3123,182.772,125.3101,260.001
equipamento15,31,1658,4258414.6495,6668110.2698,3206.2135,136.8079,129.808,237.0649
equipamento15,32,6189,4258614.269,6669467.9651,2070.5292,196.48,111.5601,191.089
equipamento15,33,3990,4258544.6153,6668133.2202,2067.5363,194.4009,118.066,186.725
equipamento16,0,4196,4253546.3027,6667635.1682,1363.1631,179.9561,172.9341,174.032
equipamento16,1,3202,4253531.3721,6669298.1802,1344.6107,153.618,128.8081,163.981
equipamento16,2,3204,4253534.4425,6669106.2963,1343.8707,154.3879,118.49,162.002
equipamento16,3,5079,4255105.168,6669525.3785,1500.7265,199.616,100.7769,189.999
equipamento16,4,4633,4255121.5093,6669267.9241,1506.9031,203.231,152.8042,201.9971
equipamento16,5,2669,4253667.3317,6668501.4215,2998.4643,91.394,189.8481,184.8662
equipamento16,6,6703,4253427.1334,6668489.987,3020.9622,94.7419,193.908,195.3708
equipamento16,7,1804,4253677.5871,6668523.7991,2120.5876,140.047,201.334,192.7971
equipamento16,8,5051,4253451.3181,6668498.3138,2111.1903,126.535,196.812,197.426
equipamento16,9,2612,4255128.4864,6668231.3146,1467.1436,141.1321,106.2,131.124
equipamento16,10,2127,4255006.8999,6667951.4431,2384.5997,128.6392,109.927,107.709
equipamento16,11,1355,4253379.3422,6665969.5482,2236.1881,138.105,219.225,112.0378
equipamento16,12,1495,4253380.0122,6665963.3381,2049.8868,153.146,157.323,112.999
equipamento16,13,2290,4252947.8747,6666945.8924,3504.4963,108.975,115.355,114.001
equipamento16,14,5092,4255062.6048,6666007.5757,3829.888,169.627,246.537,287.2522
equipamento16,15,10456,4255338.8283,6665111.9696,3824.7564,288.7869,166.038,287.4331
equipamento16,16,4702,4255358.6041,6665520.7782,3843.7408,293.2678,153.774,285.7459
equipamento16,17,2882,4254469.4361,6668526.5221,3912.3425,287.9429,284.812,126.7629
equipamento16,18,1295,4254455.4212,6668132.5672,3888.9788,240.811,231.993,102.4348
equipamento16,19,6720,4254278.9218,6665941.8059,3856.8178,209.0701,289.654,301.968
equipamento16,20,5686,4254633.1148,6665945.4997,3852.8217,166.6499,289.452,285.698
equipamento16,21,1865,4254999.3376,6667954.9346,2930.928,100.7852,136.676,108.2529
equipamento16,22,2377,4255095.1246,6667854.0397,2930.8121,108.3779,113.621,109.9341
equipamento16,23,1565,4253578.5053,6667091.6615,3177.4229,108.301,112.1389,112.1099
equipamento16,24,8220,4254197.0538,6668166.1799,4448.883,194.0049,287.0599,280.1235
equipamento16,25,8159,4254440.478,6668155.9629,4282.1429,244.1528,235.2169,107.0864
equipamento16,26,5409,4253902.0797,6667738.9805,3175.2476,285.5731,196.095,288.03
equipamento16,27,7403,4253945.319,6667331.7632,3179.3941,299.0691,164.944,282.0029
equipamento16,28,1189,4253963.4644,6666921.4017,2172.8565,116.8181,96.212,103.2439
equipamento16,29,999,4254372.9915,6666207.2051,2909.1414,109.8008,118.86,87.7361
equipamento16,30,5958,4253938.0043,6666733.3702,2837.3554,294.5919,289.694,179.479
equipamento16,31,939,4253962.0347,6666905.5825,2686.3172,92.486,95.068,96.5359
equipamento16,32,4638,4253928.3125,6665989.2298,2834.8342,284.6749,295.583,184.696
